"FACID","NAME","TYPE","LTC","CAPACITY","ADDRESS","CITY","ZIP","FACADMIN","CONTACT_EMAIL","CONTACT_FAX","CONTACT_PHONE_NUMBER","COUNTY_NAME","COUNTY_CODE","DISTRICT_NUMBER","DISTRICT_NAME","LICENSE_NUMBER","INITIAL_LICENSE_DATE","LICENSE_EFFECTIVE_DATE","OSHPD_NUMBER","LATITUDE","LONGITUDE","LOCATION"
630014546,"MEDICAL DIAGNOSTIC SERVICES OF ORANGE COUNTY INC.","HOME HEALTH AGENCY		","Non-LTC",0,"17682 BEACH BLVD","HUNTINGTON BEACH",92647,"Connell, Sharon","gparry@brightwatchcaregiver.com","(714) 896-7291","(714) 841-2273",400,"ORANGE",6,"ORANGE COUNTY",550002694,"30May2014","30Nov2014","",33.705645,-117.989058,"(33.705645, -117.989058)"
630014542,"MISSION HOPE BREAST CENTER","COMMUNITY CLINIC 	","Non-LTC",0,"1325 E CHURCH ST","SANTA MARIA",93454,"Propst, Marilyn","lupe.terrones@dignityhealth.org","(905) 739-3280","(805) 739-3280",520,"SANTA BARBARA",5,"VENTURA",550002497,"15Nov2013","15Nov2014","",34.952097,-120.414685,"(34.952097, -120.414685)"
630014539,"AXIS COMMUNITY HEALTH","PSYCHOLOGY CLINIC	","Unlicensed/Other/Missing",0,"446 LINDBERGH AVENUE","LIVERMORE",94551,"Compton, Sue","scompton@axishealth.org","(925) 417-1503","(925) 462-1755",0,"ALAMEDA",2,"EAST BAY",550002579,"31Dec2013","01Jan2015","",37.69746,-121.814209,"(37.69746, -121.814209)"
630014538,"MAKA HOSPICE, INC.","HOSPICE	","Non-LTC",0,"7335 VAN NUYS BLVD.","VAN NUYS",91405,"Sargsyan, Arusyak","makahospice@yahoo.com","(818)786-0036","(818)786-0035",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002793,"05Aug2014","07Jan2015","",34.203824,-118.448798,"(34.203824, -118.448798)"
630014533,"PREMIER HOSPICE & HOME CARE","HOSPICE	","Non-LTC",0,"21300 VICTORY BLVD","WOODLAND HILLS",91367,"","","(866) 437-1413","(800) 862-8421",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002743,"22Jun2014","22Jun2014","",34.18832,-118.595683,"(34.18832, -118.595683)"
930001311,"ENCINO SURGICENTER","SURGICAL CLINIC 	","Non-LTC",0,"16633 VENTURA BLVD","ENCINO",91436,"Rosqui, Pam","pam@drsanders.com","(818) 981-0249","(818) 981-3333",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",,"","","",34.158045,-118.495651,"(34.158045, -118.495651)"
630014532,"HEALTH TO HOPE CLINICS (CVRM)","COMMUNITY CLINIC 	","Non-LTC",0,"47470 VAN BUREN ST","INDIO",92201,"Moses, Dharmaseeli","","(951) 344-8252","(951) 275-8060",430,"RIVERSIDE",25,"RIVERSIDE",550002869,"21Oct2014","21Apr2015","",33.703786,-116.199005,"(33.703786, -116.199005)"
630014530,"HIGH QUALITY HOSPICE, INC.","HOSPICE	","Non-LTC",0,"11755 VICTORY BLVD","NORTH HOLLYWOOD",91606,"Tonchev, Tatiana","highqualityhs@yahoo.com","(818) 980-6206","(818) 980-6200",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002855,"04Sep2014","04Sep2014","",34.186712,-118.389647,"(34.186712, -118.389647)"
630014524,"PREFERRED CARE HOSPICE, INC.","HOSPICE	","Non-LTC",0,"11565 LAUREL CANYON BLVD","SAN FERNANDO",91340,"Mejorado, Irma","preferredcarehospice@gmail.com","(818) 837-1003","(818) 837-1000",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002933,"22Dec2014","22Dec2014","",34.280236,-118.454972,"(34.280236, -118.454972)"
630014521,"LOCKE WELLNESS CENTER","COMMUNITY CLINIC 	","Non-LTC",0,"316 E 111TH ST","LOS ANGELES",90061,"Lopez, Isela","william.hobson@wattshealth.org","(323) 879-6983","(323) 450-2390",200,"LOS ANGELES",96,"LOS ANGELES COUNTY EAST",550002583,"04Feb2014","04Feb2015","",33.933911,-118.268847,"(33.933911, -118.268847)"
630014520,"A-ONE HOSPICE PROVIDERS, INC.","HOSPICE	","Non-LTC",0,"13788 ROSWELL AVE","CHINO",91710,"Navarro, Mildred","a-onehospice@yahoo.com","(909) 925-7061","(909) 925-7060",460,"SAN BERNARDINO",24,"SAN BERNARDINO",550002489,"15Oct2013","15Oct2013","",34.003098,-117.72186,"(34.003098, -117.72186)"
630014518,"NECC GAGE HEALTH CENTER","COMMUNITY CLINIC 	","Non-LTC",0,"2975 ZOE AVENUE","HUNTINGTON PARK",90255,"Wooten, Sandy","clau@necc.md","(323) 582-8500","(323) 826-9449",200,"LOS ANGELES",96,"LOS ANGELES COUNTY EAST",550002400,"20Sep2013","20Sep2014","",33.979401,-118.215313,"(33.979401, -118.215313)"
630014517,"DUNSMUIR COMMUNITY HEALTH CENTER","COMMUNITY CLINIC 	","Non-LTC",0,"4309 STAGECOACH RD","DUNSMUIR",96025,"Malone, Jennifer","mhc@nctv.com","(530) 964-3121","(530) 964-2389",570,"SISKIYOU",23,"CHICO",550002692,"31Mar2014","31Mar2015","",41.22248,-122.276905,"(41.22248, -122.276905)"
630014515,"FRESENIUS MEDICAL CARE ORANGE COUNTY HOME","CHRONIC DIALYSIS CLINIC	","Non-LTC",1,"1401 S BROOKHURST RD","FULLERTON",92833,"Watkins, Olga","clinic8379@fmc-na.com","(714) 773-1408","(714) 773-1407",400,"ORANGE",6,"ORANGE COUNTY",550002509,"02Oct2013","02Oct2014","",33.857648,-117.959309,"(33.857648, -117.959309)"
630014510,"HOSPICE OF SAN JOAQUIN - MANTECA","HOSPICE	","Non-LTC",0,"179 W NORTH ST","MANTECA",95336,"","","","",490,"SAN JOAQUIN",3,"SACRAMENTO",100000706,"01Apr2000","01Apr2014","",37.801034,-121.217596,"(37.801034, -121.217596)"
630014508,"PLANNED PARENTHOOD GLENDORA HEALTH CENTER","COMMUNITY CLINIC 	","Non-LTC",0,"130 W ROUTE 66","GLENDORA",91740,"Tyrone, Aburto","cport@pppsgv.org","(626) 798-4706","(626) 794-5737",200,"LOS ANGELES",96,"LOS ANGELES COUNTY EAST",550002371,"21Aug2013","21Aug2014","",34.128659,-117.864906,"(34.128659, -117.864906)"
630014505,"PRIME MED HOME HEALTH AGENCY INC.","HOME HEALTH AGENCY		","Non-LTC",0,"32260 ALVARADO BLVD","UNION CITY",94587,"Villanueva, Marissa","","(510) 441-2460","(510) 441-2430",0,"ALAMEDA",2,"EAST BAY",550002552,"24Jan2014","24Jan2015","",37.588038,-122.066409,"(37.588038, -122.066409)"
630014504,"HEALTHY LIVING AT HOME - REDDING, LLC","HOME HEALTH AGENCY		","Non-LTC",0,"2155 LARKSPUR LN","REDDING",96002,"Kikuta, Amanda","jbliss@healthylivingservices.org","(800) 656-9751","(408) 781-2023",550,"SHASTA",23,"CHICO",550002513,"14Nov2013","14Nov2014","",40.577226,-122.35515,"(40.577226, -122.35515)"
630014502,"CHAPCARE VACCO","COMMUNITY CLINIC 	","Non-LTC",0,"10408 VACCO ST","SOUTH EL MONTE",91733,"Martinez, Margaret B","mmartinez@chapcare.org","(626) 993-1288","(626) 993-1238",200,"LOS ANGELES",96,"LOS ANGELES COUNTY EAST",550002384,"29Aug2013","29Aug2014","",34.047326,-118.044332,"(34.047326, -118.044332)"
630014500,"CHAPCARE MOBILE MEDICAL CLINIC","COMMUNITY CLINIC 	","Non-LTC",0,"10408 VACCO ST","SOUTH EL MONTE",91733,"","mmartinez@chapcare.org","(626) 486-9636","(626) 710-7928",200,"LOS ANGELES",96,"LOS ANGELES COUNTY EAST",550002385,"29Aug2013","29Aug2014","",34.047326,-118.044332,"(34.047326, -118.044332)"
630014499,"VALLEY REGIONAL HOME HEALTH, INC.","HOME HEALTH AGENCY		","Non-LTC",0,"7498 N REMINGTON","FRESNO",93711,"Zakaryan, Mari","","(559) 554-9773","(559) 554-9772",90,"FRESNO",4,"FRESNO",550002633,"11Apr2014","30Apr2015","",36.846014,-119.803349,"(36.846014, -119.803349)"
630014493,"PROHEALTH HOME CARE, INC.","HOSPICE	","Non-LTC",0,"1375 EXPOSITION BLVD","SACRAMENTO",95815,"Marleen, Mohamed","","(877) 281-4014","(877) 267-1960",440,"SACRAMENTO",3,"SACRAMENTO",550002615,"11Mar2014","11Mar2014","",38.595937,-121.439521,"(38.595937, -121.439521)"
630014491,"HAVENSCOURT HEALTH CENTER","COMMUNITY CLINIC 	","Non-LTC",0,"1390 66TH AVE","OAKLAND",94621,"Gersten-Rotherberg, Karen","jgarcia@laclinica.org","(510) 632-8225","(510) 639-1981",0,"ALAMEDA",2,"EAST BAY",550002404,"16Sep2013","16Sep2014","",37.762975,-122.192766,"(37.762975, -122.192766)"
630014490,"WHITE WINGS HOSPICE INC.","HOSPICE	","Non-LTC",0,"13609 VICTORY BLVD","VAN NUYS",91401,"Priyesh, Binu","whitewingshospice@gmail.com","(818) 450-1455","(818) 436-0035",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002772,"11Jul2014","11Jul2014","",34.186705,-118.429351,"(34.186705, -118.429351)"
630014489,"PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES","COMMUNITY CLINIC 	","Non-LTC",0,"15403 PARK AVE E","VICTORVILLE",92392,"Stapleton, Terry","amanda.fults@pposbc.org","(760) 245-9008","(909) 890-5511",460,"SAN BERNARDINO",24,"SAN BERNARDINO",550002375,"21Aug2013","21Aug2014","",34.506598,-117.326569,"(34.506598, -117.326569)"
630014487,"TOGETHER HOSPICE CARE LLC","HOSPICE	","Non-LTC",0,"125 W MISSION AVE","ESCONDIDO",92025,"Pradu Lau, Maria","","","(760)743-3055",470,"SAN DIEGO",8,"SAN DIEGO NORTH",550002612,"06Feb2014","06Feb2014","",33.129904,-117.086767,"(33.129904, -117.086767)"
630014481,"ANGELICAL HOSPICE","HOSPICE	","Non-LTC",0,"14349 VICTORY BLVD","VAN NUYS",91401,"Pereja, Jhoanna M","","(818) 804-3442","(818) 465-2266",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002965,"22Dec2014","22Dec2014","",34.18669,-118.445938,"(34.18669, -118.445938)"
630014480,"METRO HOSPICE WEST VALLEY INC.","HOSPICE	","Non-LTC",0,"7018 OWENSMOUTH AVE","CANOGA PARK",91303,"Soghomonian, Vartkes","metrohospice01@gmail.com","(818) 671-1861","(818) 676-9695",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002769,"11Jul2014","11Jul2014","",34.19794,-118.60151,"(34.19794, -118.60151)"
630014476,"VAN NUYS HOSPICE CARE, INC.","HOSPICE	","Non-LTC",0,"1555 N. VERDUGO RD.","GLENDALE",91208,"Abelyan, Anna","vannuyshospice@yahoo.com","(818) 265-3942","(818) 243-3097",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002775,"14Jul2014","25Jan2015","",34.169639,-118.227684,"(34.169639, -118.227684)"
630014472,"HOSPICE SPECTRUM, LLC","HOSPICE	","Non-LTC",0,"171 S ANITA DR","ORANGE",92868,"Castromayor, Gina","","(714) 363-5752","(714) 398-3198",400,"ORANGE",6,"ORANGE COUNTY",550002771,"14Jul2014","14Jul2014","",33.78623,-117.881146,"(33.78623, -117.881146)"
630014469,"THE VILLAS AT TOPANGA TERRACE","CONGREGATED LIVING HEALTH FACILITY","LTC",12,"22123 ROSCOE BLVD","CANOGA PARK",91304,"Koroshec, Sharon Ruth","khurst@topangaterrace.com","(818) 444-9696","(818) 444-9600",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002596,"03Mar2014","03Mar2015","",34.219648,-118.608842,"(34.219648, -118.608842)"
630014468,"EVERLASTING HEALTHCARE","CONGREGATED LIVING HEALTH FACILITY","LTC",6,"1603 ROYWOOD DR","LANCASTER",93535,"Munoz, Christine","munozanderson23@yahoo.com","","(818) 687-3830",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002981,"25Feb2015","25Feb2015","",34.689002,-118.101331,"(34.689002, -118.101331)"
630014467,"FAMILY CIRCLE CLHF, INC.","CONGREGATED LIVING HEALTH FACILITY","LTC",6,"8061 SAINT CLAIR AVE","NORTH HOLLYWOOD",91605,"Poghosyan, Nuritsa","","(818) 848-6411","(818) 624-5955",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002983,"13Feb2015","13Feb2015","",34.217531,-118.399843,"(34.217531, -118.399843)"
630014462,"MATRIX HOSPICE INC.","HOSPICE	","Non-LTC",0,"19562 VENTURA BLVD","TARZANA",91356,"Hakami, Mahnaz","mimi_hakani@yahoo.com","(310) 997-2546","(310) 997-2549",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002774,"11Jul2014","11Jul2014","",34.172761,-118.559791,"(34.172761, -118.559791)"
630014460,"LONGEVITY HOSPICE, INC.","HOSPICE	","Non-LTC",0,"7334 TOPANGA CANYON BLVD","CANOGA PARK",91303,"Harutunyan, Susanna","","(818) 313-9012","(818) 313-9011",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002776,"11Jul2014","11Jul2014","",34.203847,-118.605909,"(34.203847, -118.605909)"
630014455,"HELPING HANDS HOME HEALTH CARE AND HOSPICE, INC.","HOSPICE	","Non-LTC",0,"1710 S AMPHLETT BLVD","SAN MATEO",94402,"Delfin, Warren","","(650) 286-9001","(650) 286-9008",510,"SAN MATEO",22,"SAN FRANCISCO",550002649,"09Apr2014","09Apr2014","",37.558244,-122.301373,"(37.558244, -122.301373)"
630014453,"CARING LIKE FAMILY HOSPICE","HOSPICE	","Non-LTC",0,"4223 GLENCOE AVE","MARINA DEL REY",90292,"Trickett, Debora","","","(310) 573-8002",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002895,"25Nov2014","25Nov2014","",33.987959,-118.441009,"(33.987959, -118.441009)"
630014450,"INNOVATIVE DIALYSIS CENTERS OF LA JOLLA","CHRONIC DIALYSIS CLINIC	","Non-LTC",0,"2082 OTAY LAKES RD","CHULA VISTA",91915,"Faiza, Solehdin","","(562) 495-8076","(619) 482-8207",470,"SAN DIEGO",8,"SAN DIEGO NORTH",,"","","",32.644772,-116.973439,"(32.644772, -116.973439)"
630014449,"SATELLITE DIALYSIS","CHRONIC DIALYSIS CLINIC	","Non-LTC",29,"646 N MARKET BLVD","SACRAMENTO",95834,"Benavides, Norma","benavidesn@satellitehealth.com","(916) 920-1648","(916) 437-5800",440,"SACRAMENTO",3,"SACRAMENTO",550002431,"10Oct2013","10Oct2014","",38.647259,-121.477433,"(38.647259, -121.477433)"
630014448,"CHERISH HOME HEALTH, INC.","HOME HEALTH AGENCY		","Non-LTC",0,"2150 MAIN ST","CAMBRIA",93428,"Garland, Barbara","MISTY@CHERISHHOMEHEALTH.COM","(805) 927-1010","(805) 927-1212",500,"SAN LUIS OBISPO",5,"VENTURA",550002480,"06Nov2013","06Nov2014","",35.563757,-121.08347,"(35.563757, -121.08347)"
630014443,"PREGNANCY CARE CENTER","COMMUNITY CLINIC 	","Non-LTC",0,"7005 N MAPLE AVE","FRESNO",93720,"Burkhart, Kristi","info@care4pcc.com","(559) 326-7529","(559) 326-7529",90,"FRESNO",4,"FRESNO",550002877,"14Nov2014","14Nov2014","",36.838485,-119.74536,"(36.838485, -119.74536)"
630014441,"GBA HOSPICE CARE","HOSPICE	","Non-LTC",0,"820 N MOUNTAIN AVE","UPLAND",91786,"Asatryan, Inna","gbahospice@gmail.com","(909) 334-4211","(909) 301-0098",460,"SAN BERNARDINO",24,"SAN BERNARDINO",550002449,"24Sep2013","24Sep2013","",34.104292,-117.670086,"(34.104292, -117.670086)"
630014440,"LIVE LIFE HOME HEALTH LLC","HOME HEALTH AGENCY		","Non-LTC",0,"79440 CORPORATE CENTER DR","LA QUINTA",92253,"Manabat, Flerida","letty.cota@yahoo.com","(888) 691-7768","(760) 578-6339",430,"RIVERSIDE",25,"RIVERSIDE",550002601,"24Feb2014","24Feb2015","",33.709286,-116.278432,"(33.709286, -116.278432)"
630014438,"HEALING TOUCH OF CALIFORNIA HOME HEALTH AGENCY, INC.","HOME HEALTH AGENCY		","Non-LTC",0,"8010 WAYLAND LN","GILROY",95020,"Gualberto, Luzviminda S","betniko@msn.com","(408) 848-3908","(408) 848-3900",530,"SANTA CLARA",7,"SAN JOSE",550002780,"06Aug2014","06Feb2015","",37.014079,-121.581798,"(37.014079, -121.581798)"
630014437,"BEACH AREA FAMILY HEALTH CENTER-ANNEX","COMMUNITY CLINIC 	","Non-LTC",0,"3690 MISSION BLVD","SAN DIEGO",92109,"","","","(619)876-4480",470,"SAN DIEGO",8,"SAN DIEGO NORTH",,"","","",32.782372,-117.252599,"(32.782372, -117.252599)"
630014436,"SANDALWOOD HOME","INTERMEDIATE CARE FACILITY-DD/H/N","LTC",6,"113 N SANDALWOOD AVE","LA PUENTE",91744,"Garcia, Napoleon","","(626) 337-9456","(626) 940-6410",200,"LOS ANGELES",96,"LOS ANGELES COUNTY EAST",550002660,"23Apr2014","23Apr2015","",34.018157,-117.916733,"(34.018157, -117.916733)"
630014435,"PACIFIC HOME HEALTH NURSING, INC.","HOME HEALTH AGENCY		","Non-LTC",0,"1998 N ARROWHEAD AVE","SAN BERNARDINO",92405,"Arora, Sunil","sunil@anchormedicalgroup.com","(909) 882-0903","(909) 882-8466",460,"SAN BERNARDINO",24,"SAN BERNARDINO",550002570,"03Jan2014","03Jan2015","",34.133362,-117.289691,"(34.133362, -117.289691)"
630014433,"HELPING HANDS HOME HEALTH CARE & HOSPICE, INC.","HOME HEALTH AGENCY		","Non-LTC",0,"1710 S AMPHLETT BLVD","SAN MATEO",94402,"Delfin, Warren","wardevh5@gmail.com","(650) 286-9001","(650) 286-9000",510,"SAN MATEO",22,"SAN FRANCISCO",550002648,"09Apr2014","09Apr2015","",37.558244,-122.301373,"(37.558244, -122.301373)"
630014432,"RANCHO PENASQUITOS COMMUNITY HEALTH CENTER","COMMUNITY CLINIC 	","Non-LTC",0,"9955 CARMEL MOUNTAIN RD","SAN DIEGO",92129,"San Juan, Joel  H","info@operationssamahan.org","(619) 474-4008","(858) 312-6700",470,"SAN DIEGO",8,"SAN DIEGO NORTH",550002478,"24Oct2013","24Oct2014","",32.960735,-117.111831,"(32.960735, -117.111831)"
630014431,"FOOTHILL FAMILY CLINIC","COMMUNITY CLINIC 	","Non-LTC",0,"1066 S WHITE RD","SAN JOSE",95127,"Chavarin, Salvador","schavarin@sjffcc.org","(408) 251-1410","(408) 755-3800",530,"SANTA CLARA",7,"SAN JOSE",550002477,"01Nov2013","01Nov2014","",37.357261,-121.820101,"(37.357261, -121.820101)"
930001207,"HUNTINGTON MEMORIAL HOSPITAL D/P APH","ACUTE PSYCHIATRIC HOSPITAL		","Non-LTC",41,"100 W CALIFORNIA BLVD","PASADENA",91105,"Ralph, Stephen","","","(626) 397-5000",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000372,"01Jan1946","01Mar2015","",34.13559,-118.152899,"(34.13559, -118.152899)"
630014428,"CA MENS COLONY-CORRECTIONAL TREATMENT CENTER","CORRECTIONAL TREATMENT CENTER","Non-LTC",87,"N HWY 1","SAN LUIS OBISPO",93409,"Groves, Michelle","","","(805) 547-7900",500,"SAN LUIS OBISPO",15,"STATE FACILITIES SECTION",550002339,"23Aug2013","01Feb2015","",35.2486577,-120.6799279,"(35.2486577, -120.6799279)"
930001206,"LONG BEACH SURGERY CENTER","SURGICAL CLINIC 	","Non-LTC",0,"4300 LONG BEACH BLVD","LONG BEACH",90807,"Bolton, Leslie","lbolton@drbolton.com","(562) 423-5951","(562) 423-4070",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",,"","","",33.836328,-118.189975,"(33.836328, -118.189975)"
630014427,"PLANNED PARENTHOOD MAR MONTE, INC., ""WEST OAKLAND""","COMMUNITY CLINIC 	","Non-LTC",0,"1682 7TH ST","OAKLAND",94607,"McNichol, Donna","linda_williams@ppmarmonte.org","(510) 899-8698","(510) 433-8830",0,"ALAMEDA",2,"EAST BAY",550002330,"17Jul2013","17Jul2014","",37.806571,-122.300272,"(37.806571, -122.300272)"
630014423,"CALIFORNIAS BEST HOSPICE SERVICES, INC.","HOSPICE	","Non-LTC",0,"1900 E LA PALMA AVE","ANAHEIM",92805,"Jarcia, Marites","calbesthospice@yahoo.com","(714) 991-0910","(714) 991-0909",400,"ORANGE",6,"ORANGE COUNTY",550002686,"28May2014","28May2014","",33.84724,-117.891513,"(33.84724, -117.891513)"
630014418,"FAMILY HERITAGE HOME HEALTH","HOME HEALTH AGENCY		","Non-LTC",0,"1126 W FOOTHILL BLVD","UPLAND",91786,"Clarke, Merlin","familyheritagehh@yahoo.com","(909) 920-6883","(909) 920-6885",460,"SAN BERNARDINO",24,"SAN BERNARDINO",550002737,"19Feb2014","19Feb2015","",34.10692,-117.667921,"(34.10692, -117.667921)"
630014415,"ADVENTIST HEALTH COMMUNITY CARE-RIVERDALE","COMMUNITY CLINIC 	","Non-LTC",0,"3567 MT. WHITNEY","RIVERDALE",93656,"Ferch, Alan W","oorges1m@ah.org","(559) 867-0152","(559) 867-7200",90,"FRESNO",4,"FRESNO",40000149,"","18Mar2015","",36.435824,-119.864787,"(36.435824, -119.864787)"
630014411,"BLUE SKIES HOSPICE, LLC","HOSPICE	","Non-LTC",0,"15472 ARROW HWY","BALDWIN PARK",91706,"Duran, Charilyn Joy L.","","(626)472-0167","(626) 665-3482",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002888,"24Nov2014","24Nov2014","",34.106976,-117.943459,"(34.106976, -117.943459)"
630014409,"KERMAN UNIFIED SCHOOL DISTRICT COMMUNITY HEALTH CENTER","COMMUNITY CLINIC 	","Non-LTC",0,"702 S 8TH ST","KERMAN",93630,"Griffin, Soyla","sgriffin@valleyhealthteam.com","(559) 842-5001","(559) 364-2975",90,"FRESNO",4,"FRESNO",550002331,"24Jul2013","24Jul2014","",36.724512,-120.056505,"(36.724512, -120.056505)"
930001185,"POMONA VALLEY HOSPITAL MEDICAL CENTER D/P SNF","SKILLED NURSING FACILITY","LTC",38,"1798 N GAREY AVE","POMONA",91767,"Burwell, Robert","","(909) 865-9756","",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000128,"01Jan1946","24Mar2015","",34.077997,-117.751308,"(34.077997, -117.751308)"
630014406,"DIALYSIS CENTER OF PORTERVILLE, LLC","CHRONIC DIALYSIS CLINIC	","Non-LTC",21,"841 W HENDERSON AVE","PORTERVILLE",93257,"Dumlao, Melody G","","(559) 535-0601","(559) 535-0600",640,"TULARE",12,"BAKERSFIELD",550002543,"16Dec2013","16Jun2015","",36.080398,-119.036251,"(36.080398, -119.036251)"
630014400,"SILVER AGE HOSPICE SERVICE, INC.","HOSPICE	","Non-LTC",0,"408 S. ROSEMEAD BLVD. SUITE 201","PASADENA",91107,"Chefteyan, Toros","silveragehospice@gmail.com","(626) 792-9445","(626) 792-9448",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002556,"27Dec2013","14Dec2014","",34.139463,-118.07317,"(34.139463, -118.07317)"
630014399,"SATELLITE DIALYSIS","CHRONIC DIALYSIS CLINIC	","Non-LTC",25,"6265 COMMERCE BLVD","ROHNERT PARK",94928,"Godfrey, Kelli E","","","(707) 383-7974",590,"SONOMA",11,"SANTA ROSA/REDWOOD COAST",550002412,"31Jul2013","31Jan2015","",38.349545,-122.709697,"(38.349545, -122.709697)"
630014398,"COMPREHENSIVE HOME HEALTH CARE & HOSPICE, INC","HOSPICE	","Non-LTC",0,"312 GEORGIA ST","VALLEJO",94590,"Naheed, Hussain","","","",580,"SOLANO",11,"SANTA ROSA/REDWOOD COAST",550002529,"15Oct2013","18Oct2013","",38.101162,-122.257784,"(38.101162, -122.257784)"
630014397,"ALLIED HOSPICE, LLC","HOSPICE	","Non-LTC",0,"11770 WARNER AVE","FOUNTAIN VALLEY",92708,"Rayos, Julie Ann O","alliedhospice@gmail.com","(714) 546-4220","(714) 546-4133",400,"ORANGE",6,"ORANGE COUNTY",550002522,"19Dec2013","19Dec2013","",33.715795,-117.924084,"(33.715795, -117.924084)"
930001173,"SFS DIALYSIS","CHRONIC DIALYSIS CLINIC	","Non-LTC",24,"10012 NORWALK BLVD","SANTA FE SPRINGS",90670,"Castillo, Johnathan","lpdc2000@aol.com","(562) 903-8289","(562) 903-8281",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000659,"11Jun1992","01Dec2014","",33.946859,-118.072672,"(33.946859, -118.072672)"
630014394,"COMPREHENSIVE HOME HEALTH CARE & HOSPICE, INC.","HOME HEALTH AGENCY		","Non-LTC",0,"312 GEORGIA ST","VALLEJO",94590,"Hussain, Naheed","muzaffar@comphospice.com","(707) 554-4043","(707) 544-4003",580,"SOLANO",11,"SANTA ROSA/REDWOOD COAST",550002531,"15Oct2013","18Apr2015","",38.101162,-122.257784,"(38.101162, -122.257784)"
630014393,"BRISTOL HOSPICE - STOCKTON LLC","HOSPICE	","Non-LTC",0,"1803 W MARCH LN","STOCKTON",95207,"Hartman, Beverly B","","","(209) 473-3650",490,"SAN JOAQUIN",3,"SACRAMENTO",550002476,"01Nov2013","01Nov2013","",37.987583,-121.328094,"(37.987583, -121.328094)"
630014392,"CORONA SPECIALITY CARE SURGERY CENTER","SURGICAL CLINIC 	","Non-LTC",0,"1810 FULLERTON AVE","CORONA",92881,"","","(951) 734-7245","(951) 734-7246",430,"RIVERSIDE",25,"RIVERSIDE",,"","","",33.859621,-117.550342,"(33.859621, -117.550342)"
630014389,"SILVERADO HOSPICE - BAY AREA","HOSPICE	","Non-LTC",0,"1000 MARINA BLVD","BRISBANE",94005,"Escobedo, Leticia","lescobedo@silveradocare.com","(650) 654-9015","(650) 226-4152",510,"SAN MATEO",22,"SAN FRANCISCO",550002623,"20Mar2014","20Mar2014","",37.674313,-122.387169,"(37.674313, -122.387169)"
930001167,"ANTELOPE VALLEY SURGERY CENTER","SURGICAL CLINIC 	","Non-LTC",0,"44301 LORIMER AVE","LANCASTER",93534,"Hibler, Lorie","Lorie.hibler@scasurgery.com","(661) 940-0222","(661) 940-1112",200,"LOS ANGELES",93,"LOS ANGELES COUNTY EAST",930000656,"22Jun1992","01Nov2007","",34.688046,-118.160181,"(34.688046, -118.160181)"
630014388,"DYNAMIX HOME HEALTH","HOME HEALTH AGENCY		","Non-LTC",0,"817 W BEVERLY BLVD","MONTEBELLO",90640,"Manale, Jorge","georgeot@dynamix-rehab.com","(562) 684-0102","(562) 927-5820",200,"LOS ANGELES",98,"LOS ANGELES COUNTY WEST",550002837,"03Oct2014","03Apr2015","",34.017292,-118.107048,"(34.017292, -118.107048)"
630014381,"AVATAR HEALTH MONITORING INC.","HOME HEALTH AGENCY		","Non-LTC",0,"10620 TREENA ST","SAN DIEGO",92131,"Chulpaeff, Boris","alexr@nationalhha.com","(408) 521-3333","(858) 227-9101",470,"SAN DIEGO",8,"SAN DIEGO NORTH",550002673,"14Apr2014","14Apr2015","",32.910667,-117.113861,"(32.910667, -117.113861)"
630014380,"WELLNESS CENTER AT JEFFERSON HIGH SCHOOL","COMMUNITY CLINIC 	","Non-LTC",0,"3410 HOOPER AVE","LOS ANGELES",90011,"Veloz, Richard","richardv@scfhc.org","(323) 908-4256","(323) 908-4200",200,"LOS ANGELES",96,"LOS ANGELES COUNTY EAST",550002413,"30Sep2013","30Sep2014","",34.012771,-118.252115,"(34.012771, -118.252115)"
